pdb_file,hydrophobicity_contacts
relaxed_2wmp_model_293_corrected_H_0001_2wmp,27
relaxed_2wmp_model_294_corrected_H_0001_2wmp,29
relaxed_2wmp_model_295_corrected_H_0001_2wmp,15
relaxed_2wmp_model_296_corrected_H_0001_2wmp,36
relaxed_2wmp_model_297_corrected_H_0001_2wmp,36
relaxed_2wmp_model_298_corrected_H_0001_2wmp,23
relaxed_2wmp_model_299_corrected_H_0001_2wmp,22
relaxed_2wmp_model_3_corrected_H_0001_2wmp,23
relaxed_2wmp_model_30_corrected_H_0001_2wmp,20
relaxed_2wmp_model_300_corrected_H_0001_2wmp,22
relaxed_2wmp_model_301_corrected_H_0001_2wmp,37
relaxed_2wmp_model_302_corrected_H_0001_2wmp,17
relaxed_2wmp_model_303_corrected_H_0001_2wmp,28
relaxed_2wmp_model_304_corrected_H_0001_2wmp,38
relaxed_2wmp_model_305_corrected_H_0001_2wmp,41
relaxed_2wmp_model_306_corrected_H_0001_2wmp,36
relaxed_2wmp_model_307_corrected_H_0001_2wmp,32
relaxed_2wmp_model_308_corrected_H_0001_2wmp,39
relaxed_2wmp_model_309_corrected_H_0001_2wmp,31
relaxed_2wmp_model_31_corrected_H_0001_2wmp,34
relaxed_2wmp_model_310_corrected_H_0001_2wmp,34
relaxed_2wmp_model_311_corrected_H_0001_2wmp,36
relaxed_2wmp_model_312_corrected_H_0001_2wmp,25
relaxed_2wmp_model_313_corrected_H_0001_2wmp,16
relaxed_2wmp_model_314_corrected_H_0001_2wmp,33
relaxed_2wmp_model_315_corrected_H_0001_2wmp,29
relaxed_2wmp_model_316_corrected_H_0001_2wmp,25
relaxed_2wmp_model_317_corrected_H_0001_2wmp,43
relaxed_2wmp_model_318_corrected_H_0001_2wmp,29
relaxed_2wmp_model_319_corrected_H_0001_2wmp,22
relaxed_2wmp_model_32_corrected_H_0001_2wmp,34
relaxed_2wmp_model_320_corrected_H_0001_2wmp,23
relaxed_2wmp_model_321_corrected_H_0001_2wmp,45
relaxed_2wmp_model_322_corrected_H_0001_2wmp,33
relaxed_2wmp_model_323_corrected_H_0001_2wmp,37
relaxed_2wmp_model_324_corrected_H_0001_2wmp,34
relaxed_2wmp_model_325_corrected_H_0001_2wmp,33
relaxed_2wmp_model_326_corrected_H_0001_2wmp,38
relaxed_2wmp_model_327_corrected_H_0001_2wmp,45
relaxed_2wmp_model_328_corrected_H_0001_2wmp,45
relaxed_2wmp_model_329_corrected_H_0001_2wmp,41
relaxed_2wmp_model_33_corrected_H_0001_2wmp,19
relaxed_2wmp_model_330_corrected_H_0001_2wmp,50
relaxed_2wmp_model_331_corrected_H_0001_2wmp,26
relaxed_2wmp_model_332_corrected_H_0001_2wmp,37
relaxed_2wmp_model_333_corrected_H_0001_2wmp,40
relaxed_2wmp_model_334_corrected_H_0001_2wmp,46
relaxed_2wmp_model_335_corrected_H_0001_2wmp,31
relaxed_2wmp_model_336_corrected_H_0001_2wmp,24
relaxed_2wmp_model_337_corrected_H_0001_2wmp,40
relaxed_2wmp_model_338_corrected_H_0001_2wmp,37
relaxed_2wmp_model_339_corrected_H_0001_2wmp,46
relaxed_2wmp_model_34_corrected_H_0001_2wmp,13
relaxed_2wmp_model_340_corrected_H_0001_2wmp,34
relaxed_2wmp_model_341_corrected_H_0001_2wmp,37
relaxed_2wmp_model_342_corrected_H_0001_2wmp,39
relaxed_2wmp_model_343_corrected_H_0001_2wmp,26
relaxed_2wmp_model_344_corrected_H_0001_2wmp,29
relaxed_2wmp_model_345_corrected_H_0001_2wmp,27
relaxed_2wmp_model_346_corrected_H_0001_2wmp,32
relaxed_2wmp_model_347_corrected_H_0001_2wmp,44
relaxed_2wmp_model_348_corrected_H_0001_2wmp,38
relaxed_2wmp_model_349_corrected_H_0001_2wmp,32
relaxed_2wmp_model_35_corrected_H_0001_2wmp,18
relaxed_2wmp_model_350_corrected_H_0001_2wmp,22
relaxed_2wmp_model_351_corrected_H_0001_2wmp,51
relaxed_2wmp_model_352_corrected_H_0001_2wmp,37
relaxed_2wmp_model_353_corrected_H_0001_2wmp,44
relaxed_2wmp_model_354_corrected_H_0001_2wmp,38
relaxed_2wmp_model_355_corrected_H_0001_2wmp,45
relaxed_2wmp_model_356_corrected_H_0001_2wmp,28
relaxed_2wmp_model_357_corrected_H_0001_2wmp,58
relaxed_2wmp_model_358_corrected_H_0001_2wmp,67
relaxed_2wmp_model_359_corrected_H_0001_2wmp,31
relaxed_2wmp_model_36_corrected_H_0001_2wmp,21
relaxed_2wmp_model_360_corrected_H_0001_2wmp,56
relaxed_2wmp_model_361_corrected_H_0001_2wmp,44
relaxed_2wmp_model_362_corrected_H_0001_2wmp,78
relaxed_2wmp_model_363_corrected_H_0001_2wmp,41
relaxed_2wmp_model_364_corrected_H_0001_2wmp,40
relaxed_2wmp_model_365_corrected_H_0001_2wmp,34
relaxed_2wmp_model_366_corrected_H_0001_2wmp,41
relaxed_2wmp_model_367_corrected_H_0001_2wmp,48
relaxed_2wmp_model_368_corrected_H_0001_2wmp,39
relaxed_2wmp_model_369_corrected_H_0001_2wmp,44
relaxed_2wmp_model_37_corrected_H_0001_2wmp,20
relaxed_2wmp_model_370_corrected_H_0001_2wmp,47
relaxed_2wmp_model_371_corrected_H_0001_2wmp,37
relaxed_2wmp_model_372_corrected_H_0001_2wmp,40
relaxed_2wmp_model_373_corrected_H_0001_2wmp,30
relaxed_2wmp_model_374_corrected_H_0001_2wmp,63
relaxed_2wmp_model_375_corrected_H_0001_2wmp,49
relaxed_2wmp_model_376_corrected_H_0001_2wmp,21
relaxed_2wmp_model_377_corrected_H_0001_2wmp,47
relaxed_2wmp_model_378_corrected_H_0001_2wmp,43
relaxed_2wmp_model_379_corrected_H_0001_2wmp,59
relaxed_2wmp_model_38_corrected_H_0001_2wmp,22
relaxed_2wmp_model_380_corrected_H_0001_2wmp,22
relaxed_2wmp_model_381_corrected_H_0001_2wmp,27
relaxed_2wmp_model_382_corrected_H_0001_2wmp,51
relaxed_2wmp_model_383_corrected_H_0001_2wmp,48
relaxed_2wmp_model_384_corrected_H_0001_2wmp,61
relaxed_2wmp_model_385_corrected_H_0001_2wmp,51
relaxed_2wmp_model_386_corrected_H_0001_2wmp,34
relaxed_2wmp_model_387_corrected_H_0001_2wmp,32
relaxed_2wmp_model_388_corrected_H_0001_2wmp,48
relaxed_2wmp_model_389_corrected_H_0001_2wmp,31
relaxed_2wmp_model_39_corrected_H_0001_2wmp,19
relaxed_2wmp_model_390_corrected_H_0001_2wmp,45
relaxed_2wmp_model_391_corrected_H_0001_2wmp,32
relaxed_2wmp_model_392_corrected_H_0001_2wmp,51
relaxed_2wmp_model_393_corrected_H_0001_2wmp,38
relaxed_2wmp_model_394_corrected_H_0001_2wmp,20
relaxed_2wmp_model_395_corrected_H_0001_2wmp,40
relaxed_2wmp_model_396_corrected_H_0001_2wmp,46
relaxed_2wmp_model_397_corrected_H_0001_2wmp,64
relaxed_2wmp_model_398_corrected_H_0001_2wmp,31
relaxed_2wmp_model_399_corrected_H_0001_2wmp,27
relaxed_2wmp_model_4_corrected_H_0001_2wmp,23
relaxed_2wmp_model_40_corrected_H_0001_2wmp,31
relaxed_2wmp_model_400_corrected_H_0001_2wmp,30
relaxed_2wmp_model_401_corrected_H_0001_2wmp,47
relaxed_2wmp_model_402_corrected_H_0001_2wmp,60
relaxed_2wmp_model_403_corrected_H_0001_2wmp,35
relaxed_2wmp_model_404_corrected_H_0001_2wmp,53
relaxed_2wmp_model_405_corrected_H_0001_2wmp,58
relaxed_2wmp_model_406_corrected_H_0001_2wmp,44
relaxed_2wmp_model_407_corrected_H_0001_2wmp,63
relaxed_2wmp_model_408_corrected_H_0001_2wmp,34
relaxed_2wmp_model_409_corrected_H_0001_2wmp,44
relaxed_2wmp_model_41_corrected_H_0001_2wmp,17
relaxed_2wmp_model_410_corrected_H_0001_2wmp,40
relaxed_2wmp_model_411_corrected_H_0001_2wmp,35
relaxed_2wmp_model_412_corrected_H_0001_2wmp,51
relaxed_2wmp_model_413_corrected_H_0001_2wmp,38
relaxed_2wmp_model_414_corrected_H_0001_2wmp,39
relaxed_2wmp_model_415_corrected_H_0001_2wmp,60
relaxed_2wmp_model_416_corrected_H_0001_2wmp,74
relaxed_2wmp_model_417_corrected_H_0001_2wmp,35
relaxed_2wmp_model_418_corrected_H_0001_2wmp,52
relaxed_2wmp_model_419_corrected_H_0001_2wmp,38
relaxed_2wmp_model_42_corrected_H_0001_2wmp,32
relaxed_2wmp_model_420_corrected_H_0001_2wmp,43
relaxed_2wmp_model_421_corrected_H_0001_2wmp,70
relaxed_2wmp_model_422_corrected_H_0001_2wmp,31
relaxed_2wmp_model_423_corrected_H_0001_2wmp,73
relaxed_2wmp_model_424_corrected_H_0001_2wmp,52
relaxed_2wmp_model_425_corrected_H_0001_2wmp,51
relaxed_2wmp_model_426_corrected_H_0001_2wmp,49
relaxed_2wmp_model_427_corrected_H_0001_2wmp,46
relaxed_2wmp_model_428_corrected_H_0001_2wmp,38
relaxed_2wmp_model_429_corrected_H_0001_2wmp,55
relaxed_2wmp_model_43_corrected_H_0001_2wmp,30
relaxed_2wmp_model_430_corrected_H_0001_2wmp,47
relaxed_2wmp_model_431_corrected_H_0001_2wmp,42
relaxed_2wmp_model_432_corrected_H_0001_2wmp,33
relaxed_2wmp_model_433_corrected_H_0001_2wmp,51
relaxed_2wmp_model_434_corrected_H_0001_2wmp,56
relaxed_2wmp_model_435_corrected_H_0001_2wmp,50
relaxed_2wmp_model_436_corrected_H_0001_2wmp,56
relaxed_2wmp_model_437_corrected_H_0001_2wmp,46
relaxed_2wmp_model_438_corrected_H_0001_2wmp,54
relaxed_2wmp_model_439_corrected_H_0001_2wmp,19
relaxed_2wmp_model_44_corrected_H_0001_2wmp,12
relaxed_2wmp_model_440_corrected_H_0001_2wmp,58
relaxed_2wmp_model_441_corrected_H_0001_2wmp,70
relaxed_2wmp_model_442_corrected_H_0001_2wmp,52
relaxed_2wmp_model_443_corrected_H_0001_2wmp,43
relaxed_2wmp_model_444_corrected_H_0001_2wmp,51
relaxed_2wmp_model_445_corrected_H_0001_2wmp,33
relaxed_2wmp_model_446_corrected_H_0001_2wmp,82
relaxed_2wmp_model_447_corrected_H_0001_2wmp,45
relaxed_2wmp_model_448_corrected_H_0001_2wmp,56
relaxed_2wmp_model_449_corrected_H_0001_2wmp,31
relaxed_2wmp_model_45_corrected_H_0001_2wmp,22
relaxed_2wmp_model_450_corrected_H_0001_2wmp,41
relaxed_2wmp_model_451_corrected_H_0001_2wmp,43
relaxed_2wmp_model_452_corrected_H_0001_2wmp,43
relaxed_2wmp_model_453_corrected_H_0001_2wmp,33
relaxed_2wmp_model_454_corrected_H_0001_2wmp,63
