pdb_file,hydrophobicity_contacts
relaxed_3ona_model_305_corrected_H_0001_3ona,10
relaxed_3ona_model_306_corrected_H_0001_3ona,33
relaxed_3ona_model_307_corrected_H_0001_3ona,21
relaxed_3ona_model_308_corrected_H_0001_3ona,15
relaxed_3ona_model_309_corrected_H_0001_3ona,17
relaxed_3ona_model_31_corrected_H_0001_3ona,18
relaxed_3ona_model_310_corrected_H_0001_3ona,18
relaxed_3ona_model_311_corrected_H_0001_3ona,18
relaxed_3ona_model_312_corrected_H_0001_3ona,17
relaxed_3ona_model_313_corrected_H_0001_3ona,17
relaxed_3ona_model_314_corrected_H_0001_3ona,19
relaxed_3ona_model_315_corrected_H_0001_3ona,15
relaxed_3ona_model_316_corrected_H_0001_3ona,37
relaxed_3ona_model_317_corrected_H_0001_3ona,17
relaxed_3ona_model_318_corrected_H_0001_3ona,16
relaxed_3ona_model_319_corrected_H_0001_3ona,18
relaxed_3ona_model_32_corrected_H_0001_3ona,20
relaxed_3ona_model_320_corrected_H_0001_3ona,25
relaxed_3ona_model_321_corrected_H_0001_3ona,12
relaxed_3ona_model_322_corrected_H_0001_3ona,25
relaxed_3ona_model_323_corrected_H_0001_3ona,15
relaxed_3ona_model_324_corrected_H_0001_3ona,14
relaxed_3ona_model_325_corrected_H_0001_3ona,16
relaxed_3ona_model_326_corrected_H_0001_3ona,22
relaxed_3ona_model_327_corrected_H_0001_3ona,19
relaxed_3ona_model_328_corrected_H_0001_3ona,15
relaxed_3ona_model_329_corrected_H_0001_3ona,23
relaxed_3ona_model_33_corrected_H_0001_3ona,17
relaxed_3ona_model_330_corrected_H_0001_3ona,14
relaxed_3ona_model_331_corrected_H_0001_3ona,16
relaxed_3ona_model_332_corrected_H_0001_3ona,15
relaxed_3ona_model_333_corrected_H_0001_3ona,17
relaxed_3ona_model_334_corrected_H_0001_3ona,18
relaxed_3ona_model_335_corrected_H_0001_3ona,23
relaxed_3ona_model_336_corrected_H_0001_3ona,21
relaxed_3ona_model_337_corrected_H_0001_3ona,22
relaxed_3ona_model_338_corrected_H_0001_3ona,17
relaxed_3ona_model_339_corrected_H_0001_3ona,27
relaxed_3ona_model_34_corrected_H_0001_3ona,19
relaxed_3ona_model_340_corrected_H_0001_3ona,30
relaxed_3ona_model_341_corrected_H_0001_3ona,21
relaxed_3ona_model_342_corrected_H_0001_3ona,30
relaxed_3ona_model_343_corrected_H_0001_3ona,18
relaxed_3ona_model_344_corrected_H_0001_3ona,15
relaxed_3ona_model_345_corrected_H_0001_3ona,25
relaxed_3ona_model_346_corrected_H_0001_3ona,27
relaxed_3ona_model_347_corrected_H_0001_3ona,20
relaxed_3ona_model_348_corrected_H_0001_3ona,28
relaxed_3ona_model_349_corrected_H_0001_3ona,17
relaxed_3ona_model_35_corrected_H_0001_3ona,16
relaxed_3ona_model_350_corrected_H_0001_3ona,17
relaxed_3ona_model_351_corrected_H_0001_3ona,21
relaxed_3ona_model_352_corrected_H_0001_3ona,17
relaxed_3ona_model_353_corrected_H_0001_3ona,17
relaxed_3ona_model_354_corrected_H_0001_3ona,21
relaxed_3ona_model_355_corrected_H_0001_3ona,32
