pdb_file,interface_rsm
relaxed_3k9p_model_14_corrected_H_0001_3k9p,0.0530898034300043
relaxed_3k9p_model_140_corrected_H_0001_3k9p,0.0531509011825137
relaxed_3k9p_model_141_corrected_H_0001_3k9p,0.054964908576463
relaxed_3k9p_model_142_corrected_H_0001_3k9p,0.0489635968882721
relaxed_3k9p_model_143_corrected_H_0001_3k9p,0.050743990504676
relaxed_3k9p_model_144_corrected_H_0001_3k9p,0.0584262591823316
relaxed_3k9p_model_145_corrected_H_0001_3k9p,0.0621212147424319
relaxed_3k9p_model_146_corrected_H_0001_3k9p,0.0741668842357557
relaxed_3k9p_model_147_corrected_H_0001_3k9p,0.0515300144146385
relaxed_3k9p_model_148_corrected_H_0001_3k9p,0.0494848027399868
relaxed_3k9p_model_149_corrected_H_0001_3k9p,0.0520153557230917
relaxed_3k9p_model_15_corrected_H_0001_3k9p,0.0968790295811338
relaxed_3k9p_model_150_corrected_H_0001_3k9p,0.0502389189759618
relaxed_3k9p_model_151_corrected_H_0001_3k9p,0.0598852790401886
relaxed_3k9p_model_152_corrected_H_0001_3k9p,0.0594544751935987
relaxed_3k9p_model_153_corrected_H_0001_3k9p,0.0589897904547871
relaxed_3k9p_model_154_corrected_H_0001_3k9p,0.0564895213531971
relaxed_3k9p_model_155_corrected_H_0001_3k9p,0.034900111244864
relaxed_3k9p_model_156_corrected_H_0001_3k9p,0.0486013262635706
relaxed_3k9p_model_157_corrected_H_0001_3k9p,0.06545275018321
relaxed_3k9p_model_158_corrected_H_0001_3k9p,0.050077686983569
relaxed_3k9p_model_159_corrected_H_0001_3k9p,0.0346413651005541
relaxed_3k9p_model_16_corrected_H_0001_3k9p,0.0469360084860541
relaxed_3k9p_model_160_corrected_H_0001_3k9p,0.0412363013068964
relaxed_3k9p_model_161_corrected_H_0001_3k9p,0.0518354052890214
relaxed_3k9p_model_162_corrected_H_0001_3k9p,0.0528672704595616
relaxed_3k9p_model_163_corrected_H_0001_3k9p,0.0505615613731762
relaxed_3k9p_model_164_corrected_H_0001_3k9p,0.0570194105992893
relaxed_3k9p_model_165_corrected_H_0001_3k9p,0.0582192967443983
relaxed_3k9p_model_166_corrected_H_0001_3k9p,0.0414926031283042
relaxed_3k9p_model_167_corrected_H_0001_3k9p,0.0605179926965995
relaxed_3k9p_model_168_corrected_H_0001_3k9p,0.0496736015019197
relaxed_3k9p_model_169_corrected_H_0001_3k9p,0.035194546184934
relaxed_3k9p_model_17_corrected_H_0001_3k9p,0.0876123944913245
relaxed_3k9p_model_170_corrected_H_0001_3k9p,0.0673607339594272
relaxed_3k9p_model_171_corrected_H_0001_3k9p,0.0394192961783776
relaxed_3k9p_model_172_corrected_H_0001_3k9p,0.0576532205617343
relaxed_3k9p_model_173_corrected_H_0001_3k9p,0.0541239479831493
relaxed_3k9p_model_174_corrected_H_0001_3k9p,0.0603532630226808
relaxed_3k9p_model_175_corrected_H_0001_3k9p,0.0557787032339588
relaxed_3k9p_model_176_corrected_H_0001_3k9p,0.0541794356219594
relaxed_3k9p_model_177_corrected_H_0001_3k9p,0.0629021360503922
relaxed_3k9p_model_178_corrected_H_0001_3k9p,0.0365384456425006
relaxed_3k9p_model_179_corrected_H_0001_3k9p,0.0419972139566621
relaxed_3k9p_model_18_corrected_H_0001_3k9p,0.068013903531273
relaxed_3k9p_model_180_corrected_H_0001_3k9p,0.0492371131790187
relaxed_3k9p_model_181_corrected_H_0001_3k9p,0.030875474962606
relaxed_3k9p_model_182_corrected_H_0001_3k9p,0.053919404850617
relaxed_3k9p_model_183_corrected_H_0001_3k9p,0.048171939633249
relaxed_3k9p_model_184_corrected_H_0001_3k9p,0.0513926875171896
relaxed_3k9p_model_185_corrected_H_0001_3k9p,0.0502049528896905
relaxed_3k9p_model_186_corrected_H_0001_3k9p,0.0617932911949396
relaxed_3k9p_model_187_corrected_H_0001_3k9p,0.0807902604850513
relaxed_3k9p_model_188_corrected_H_0001_3k9p,0.0604034877829158
relaxed_3k9p_model_189_corrected_H_0001_3k9p,0.0628037451844296
