pdb_file,interface_rsm
relaxed_2d5r_model_159_corrected_H_0001_2d5r,0.0886613884776321
relaxed_2d5r_model_16_corrected_H_0001_2d5r,0.0670204776905776
relaxed_2d5r_model_160_corrected_H_0001_2d5r,0.0493468447457768
relaxed_2d5r_model_161_corrected_H_0001_2d5r,0.1019054086323519
relaxed_2d5r_model_162_corrected_H_0001_2d5r,0.0704595657094633
relaxed_2d5r_model_163_corrected_H_0001_2d5r,0.0633530869883986
relaxed_2d5r_model_164_corrected_H_0001_2d5r,0.0639357006319038
relaxed_2d5r_model_165_corrected_H_0001_2d5r,0.097478425093286
relaxed_2d5r_model_166_corrected_H_0001_2d5r,0.072750596578469
relaxed_2d5r_model_167_corrected_H_0001_2d5r,0.0675964957730403
relaxed_2d5r_model_168_corrected_H_0001_2d5r,0.0593748113226171
relaxed_2d5r_model_169_corrected_H_0001_2d5r,0.0507166925885844
relaxed_2d5r_model_17_corrected_H_0001_2d5r,0.0578553139839877
relaxed_2d5r_model_170_corrected_H_0001_2d5r,0.0562615697404653
relaxed_2d5r_model_171_corrected_H_0001_2d5r,0.0594485669408472
relaxed_2d5r_model_172_corrected_H_0001_2d5r,0.0580738356993277
relaxed_2d5r_model_173_corrected_H_0001_2d5r,0.0762139564340942
relaxed_2d5r_model_174_corrected_H_0001_2d5r,0.0601540543504576
relaxed_2d5r_model_175_corrected_H_0001_2d5r,0.0533633026300542
relaxed_2d5r_model_176_corrected_H_0001_2d5r,0.0656704202539218
relaxed_2d5r_model_177_corrected_H_0001_2d5r,0.0449312808812428
relaxed_2d5r_model_178_corrected_H_0001_2d5r,0.0688069848693407
relaxed_2d5r_model_179_corrected_H_0001_2d5r,0.1007481112109435
relaxed_2d5r_model_18_corrected_H_0001_2d5r,0.0397480672252204
relaxed_2d5r_model_180_corrected_H_0001_2d5r,0.0921636351591453
relaxed_2d5r_model_181_corrected_H_0001_2d5r,0.0581805403422846
relaxed_2d5r_model_182_corrected_H_0001_2d5r,0.0519723146010604
relaxed_2d5r_model_183_corrected_H_0001_2d5r,0.0518437659871521
relaxed_2d5r_model_184_corrected_H_0001_2d5r,0.1025461839517149
relaxed_2d5r_model_185_corrected_H_0001_2d5r,0.0494535777452122
